entry_time,exit_time,side,entry_price,exit_price,pnl
2024-02-08 10:05:00,2024-02-08 12:45:00,SHORT,21932.4,21800.7,131.70000000000073
2024-02-09 09:15:00,2024-02-09 09:20:00,SHORT,21682.65,21756.6,-73.94999999999709
2024-02-14 09:15:00,2024-02-14 10:55:00,SHORT,21585.9,21635.1,-49.19999999999709
2024-02-15 10:05:00,2024-02-15 11:00:00,LONG,21862.75,21848.3,-14.450000000000728
2024-02-15 11:35:00,2024-02-15 11:40:00,LONG,21861.7,21858.0,-3.7000000000007276
2024-02-15 11:45:00,2024-02-15 12:00:00,LONG,21863.55,21856.35,-7.200000000000728
2024-02-15 13:20:00,2024-02-15 14:25:00,LONG,21861.65,21892.4,30.75
2024-03-07 15:00:00,2024-03-07 15:10:00,LONG,22514.1,22500.75,-13.349999999998545
2024-03-12 09:35:00,2024-03-12 10:40:00,LONG,22424.85,22348.6,-76.25
2024-03-15 14:40:00,2024-03-15 15:25:00,LONG,22010.4,21996.35,-14.05000000000291
2024-03-18 10:15:00,2024-03-18 11:00:00,LONG,22025.5,21998.75,-26.75
2024-03-22 14:00:00,2024-03-22 15:05:00,LONG,22097.55,22098.05,0.5
2024-03-27 13:20:00,2024-03-27 14:30:00,LONG,22169.0,22162.2,-6.799999999999272
2024-03-28 15:00:00,2024-04-01 09:20:00,SHORT,22355.2,22500.95,-145.75
2024-04-01 13:45:00,2024-04-01 13:50:00,LONG,22463.6,22450.85,-12.75
2024-04-01 15:05:00,2024-04-02 09:15:00,LONG,22461.5,22435.55,-25.950000000000728
2024-04-03 09:15:00,2024-04-03 10:05:00,SHORT,22369.65,22431.55,-61.89999999999782
2024-04-09 09:15:00,2024-04-09 11:25:00,LONG,22706.95,22739.15,32.20000000000073
2024-04-23 11:20:00,2024-04-23 13:00:00,LONG,22399.55,22398.2,-1.3499999999985448
2024-05-02 11:30:00,2024-05-02 12:45:00,LONG,22697.2,22674.9,-22.299999999999272
2024-05-08 09:15:00,2024-05-08 10:10:00,SHORT,22224.45,22279.7,-55.25
2024-05-10 14:50:00,2024-05-13 09:15:00,LONG,22032.8,21970.2,-62.599999999998545
2024-05-15 14:10:00,2024-05-15 14:25:00,LONG,22211.45,22190.65,-20.799999999999272
2024-05-31 11:40:00,2024-05-31 11:55:00,LONG,22553.95,22526.7,-27.25
2024-05-31 12:50:00,2024-05-31 14:20:00,LONG,22539.0,22532.0,-7.0
2024-06-04 09:15:00,2024-06-04 12:55:00,SHORT,22851.35,21887.8,963.5499999999993
2024-06-05 09:20:00,2024-06-05 09:30:00,SHORT,21800.55,22001.55,-201.0
2024-06-10 10:15:00,2024-06-10 12:05:00,LONG,23339.35,23318.3,-21.049999999999272
2024-06-14 09:20:00,2024-06-14 09:55:00,SHORT,23349.55,23406.75,-57.20000000000073
2024-06-20 15:20:00,2024-06-21 10:10:00,LONG,23575.4,23584.75,9.349999999998545
2024-07-03 12:20:00,2024-07-03 14:00:00,LONG,24267.6,24267.2,-0.3999999999978172
2024-07-05 15:00:00,2024-07-08 09:50:00,LONG,24288.7,24276.55,-12.150000000001455
2024-07-08 10:10:00,2024-07-08 10:35:00,LONG,24304.15,24290.45,-13.700000000000728
2024-07-22 09:55:00,2024-07-22 11:10:00,LONG,24533.95,24532.05,-1.9000000000014552
2024-07-24 09:35:00,2024-07-24 10:15:00,SHORT,24402.15,24462.0,-59.849999999998545
2024-07-25 09:15:00,2024-07-25 10:40:00,SHORT,24235.85,24317.8,-81.95000000000073
2024-07-31 11:55:00,2024-07-31 13:00:00,LONG,24933.45,24914.0,-19.450000000000728
2024-08-02 09:15:00,2024-08-02 10:50:00,SHORT,24829.35,24818.1,11.25
2024-08-09 13:15:00,2024-08-09 14:35:00,LONG,24360.2,24361.55,1.3499999999985448
2024-08-12 13:25:00,2024-08-12 14:20:00,LONG,24415.3,24403.7,-11.599999999998545
2024-08-16 11:25:00,2024-08-19 10:25:00,LONG,24313.9,24558.0,244.09999999999854
2024-08-29 12:25:00,2024-08-29 14:00:00,LONG,25142.9,25011.45,-131.45000000000073
2024-09-19 10:50:00,2024-09-19 11:05:00,LONG,25527.25,25506.55,-20.700000000000728
2024-09-20 13:30:00,2024-09-20 14:50:00,SHORT,25629.3,25777.45,-148.15000000000146
2024-09-24 10:55:00,2024-09-24 11:00:00,LONG,25960.45,25947.75,-12.700000000000728
2024-10-03 09:15:00,2024-10-04 09:55:00,SHORT,25530.45,25279.3,251.15000000000146
2024-10-04 12:40:00,2024-10-04 15:25:00,SHORT,25203.1,25049.1,154.0
2024-10-10 12:00:00,2024-10-10 12:40:00,LONG,25044.0,25026.3,-17.700000000000728
2024-10-14 13:50:00,2024-10-14 14:55:00,LONG,25125.0,25121.0,-4.0
2024-10-24 11:40:00,2024-10-24 11:50:00,LONG,24418.0,24409.5,-8.5
2024-11-04 09:15:00,2024-11-04 12:00:00,SHORT,24114.35,23946.45,167.89999999999782
2024-11-08 09:15:00,2024-11-08 09:45:00,SHORT,24086.75,24247.4,-160.65000000000146
2024-11-28 10:30:00,2024-11-28 14:00:00,SHORT,24225.8,24046.9,178.89999999999782
2024-11-29 14:25:00,2024-11-29 15:10:00,LONG,24141.0,24127.25,-13.75
2024-12-03 12:35:00,2024-12-03 13:10:00,LONG,24427.95,24412.15,-15.799999999999272
2024-12-04 11:55:00,2024-12-04 13:25:00,SHORT,24414.0,24483.05,-69.04999999999927
2024-12-05 14:55:00,2024-12-05 15:10:00,SHORT,24522.3,24751.0,-228.70000000000073
2024-12-06 10:05:00,2024-12-06 10:30:00,SHORT,24643.3,24708.65,-65.35000000000218
2024-12-12 09:20:00,2024-12-12 09:45:00,LONG,24648.5,24633.0,-15.5
2024-12-16 09:50:00,2024-12-16 09:55:00,LONG,24757.65,24728.15,-29.5
2024-12-19 09:15:00,2024-12-19 11:35:00,SHORT,23919.55,23988.1,-68.54999999999927
2024-12-20 09:45:00,2024-12-20 10:35:00,SHORT,23862.65,23944.6,-81.94999999999709
